record_date,power_consumption
2016-10-01,3493197.396212122
2016-10-02,3361522.2240436627
2016-10-03,3747493.459529811
2016-10-04,3747493.459529811
2016-10-05,3747493.459529811
2016-10-06,3747493.459529811
2016-10-07,3785612.275540036
2016-10-08,3882032.689678099
2016-10-09,3687200.725262961
2016-10-10,3977324.9104533815
2016-10-11,3977324.9104533815
2016-10-12,3977324.9104533815
2016-10-13,3977324.9104533815
2016-10-14,3977324.9104533815
2016-10-15,3882032.689678099
2016-10-16,3687200.725262961
2016-10-17,3977324.9104533815
2016-10-18,3977324.9104533815
2016-10-19,3977324.9104533815
2016-10-20,3977324.9104533815
2016-10-21,3977324.9104533815
2016-10-22,3882032.689678099
2016-10-23,3769659.7968758643
2016-10-24,3977324.9104533815
2016-10-25,3977324.9104533815
2016-10-26,3977324.9104533815
2016-10-27,3977324.9104533815
2016-10-28,3977324.9104533815
2016-10-29,3882032.689678099
2016-10-30,3709585.743542531
2016-10-31,3977324.9104533815
